laptop_specs_brand,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_avg_g3d_mark,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute,category,screen_area,screen_ratio
0,16.0,1,1024.0,2,1,14.0,90.0,400.0,65.0,3.0,1.2,6,12.0,34990000,31.24,22.12,1.59,0.0,2.0,1.0,0.0,0.0,19050,3965,40886,55930,182,22377,13589,178662,1559,15973,3965,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
2,32.0,1,1024.0,2,1,14.0,120.0,500.0,72.0,4.0,1.2,6,24.0,43790000,31.03,21.47,1.29,0.0,1.0,1.0,0.0,0.0,19773,3992,44536,60763,198,22380,13983,187115,1622,15602,3992,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
2,16.0,0,512.0,2,1,15.6,144.0,600.0,50.0,3.0,1.7,6,24.0,14990000,35.97,23.25,1.79,0.0,1.0,1.0,0.0,0.0,15977,3112,59633,31852,48,20023,12214,191138,683,12599,3112,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
0,32.0,1,1024.0,2,1,14.5,165.0,400.0,76.0,4.0,1.9,6,12.0,58390000,32.41,25.54,2.09,0.0,2.0,1.0,0.0,0.0,29319,3702,99135,73478,124,38235,19907,340819,1988,20244,3702,19567.0,222.0,118.0,178.0,85.0,8362.0,1,5898240,1.6
0,8.0,0,512.0,2,1,15.6,144.0,400.0,50.0,3.0,2.1,6,12.0,18490000,36.23,23.74,1.99,0.0,3.0,1.0,0.0,0.0,16999,3379,56563,42183,47,21668,11418,205799,920,12638,3379,9458.0,118.0,55.0,73.0,45.0,3865.0,1,2073600,1.7777777777777777
2,16.0,1,512.0,2,1,16.0,120.0,600.0,75.0,4.0,1.5,6,24.0,27990000,35.36,24.69,1.59,0.0,2.0,1.0,0.0,0.0,25114,3523,88381,64685,114,31400,16655,279971,1775,16443,3523,0.0,0.0,0.0,0.0,0.0,0.0,1,6400000,1.6
5,8.0,1,512.0,2,1,15.6,144.0,250.0,52.0,3.0,2.3,6,12.0,17990000,35.79,25.5,2.35,0.0,1.0,1.0,0.0,0.0,18408,3170,63980,36382,50,23123,14141,229245,870,15997,3170,7671.0,105.0,39.0,48.0,41.0,3467.0,1,2073600,1.7777777777777777
12,32.0,1,2048.0,2,1,18.0,120.0,500.0,99.0,4.0,2.9,6,24.0,99990000,40.0,28.97,2.4,0.0,1.0,1.0,0.0,0.0,29319,3702,99135,73478,124,38235,19907,340819,1988,20244,3702,25099.0,286.0,161.0,248.0,96.0,11446.0,1,9216000,1.6
12,16.0,1,2048.0,2,1,16.0,60.0,250.0,99.0,4.0,1.9,6,24.0,77990000,35.58,25.97,1.99,0.0,1.0,1.0,0.0,0.0,28701,3842,100655,72169,108,36868,19788,339431,1809,20041,3842,19567.0,222.0,118.0,178.0,85.0,8362.0,1,9216000,1.6
12,8.0,1,512.0,2,1,15.6,120.0,400.0,53.0,3.0,2.0,6,24.0,19490000,35.94,25.03,2.29,0.0,1.0,1.0,0.0,0.0,18351,3454,60332,44607,54,22863,12242,223438,1061,13756,3454,9458.0,118.0,55.0,73.0,45.0,3865.0,1,2073600,1.7777777777777777
5,8.0,0,512.0,2,1,15.6,90.0,250.0,41.0,3.0,1.7,6,12.0,10490000,35.85,24.2,1.79,0.0,1.0,1.0,0.0,0.0,10846,3297,36592,26189,34,13414,7301,121129,617,7105,3297,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
0,8.0,1,512.0,2,1,15.6,180.0,300.0,57.0,4.0,2.1,6,12.0,19490000,36.23,23.99,2.35,0.0,1.0,1.0,0.0,0.0,18408,3170,63980,36382,50,23123,14141,229245,870,15997,3170,7671.0,105.0,39.0,48.0,41.0,3467.0,1,2073600,1.7777777777777777
8,16.0,0,512.0,2,1,16.0,90.0,300.0,47.0,3.0,1.8,6,24.0,24990000,35.61,24.77,1.99,0.0,1.0,1.0,0.0,0.0,14828,3504,54333,36303,56,18079,10171,160029,935,8891,3504,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
